age,education,gender,hours-per-week,earning
21,10,0,40, <=50K
22,13,0,20, <=50K
62,6,0,40, <=50K
19,9,1,40, <=50K
29,9,1,25, >50K
43,10,1,40, <=50K
68,4,0,8, <=50K
45,13,0,60, >50K
39,5,0,40, <=50K
41,13,0,50, <=50K
34,12,1,25, >50K
34,9,1,33, <=50K
31,13,0,47, <=50K
29,9,0,25, <=50K
41,13,0,40, >50K
41,11,0,55, <=50K
35,14,0,45, >50K
33,13,1,45, >50K
37,13,0,38, <=50K
69,9,1,40, <=50K
34,9,1,40, <=50K
60,11,0,70, >50K
36,10,0,40, <=50K
41,9,0,50, <=50K
58,13,1,40, >50K
53,13,0,40, <=50K
29,10,0,40, <=50K
45,9,1,40, <=50K
34,10,0,38, <=50K
36,13,0,40, <=50K
48,10,1,35, <=50K
20,11,1,40, <=50K
35,9,0,50, >50K
63,9,0,40, <=50K
41,10,0,45, <=50K
28,13,0,45, <=50K
30,10,1,40, <=50K
34,9,1,40, <=50K
31,9,1,40, <=50K
37,11,1,38, <=50K
42,10,0,40, <=50K
31,10,0,50, >50K
46,14,0,45, >50K
35,9,0,60, >50K
27,9,0,53, <=50K
41,2,0,35, <=50K
19,10,1,20, <=50K
20,10,0,45, <=50K
59,9,1,40, <=50K
40,13,0,37, <=50K
56,10,0,60, <=50K
33,14,0,44, >50K
30,10,1,60, <=50K
46,9,0,50, <=50K
61,9,0,35, >50K
50,9,0,40, >50K
25,9,0,30, <=50K
40,10,1,39, <=50K
24,10,0,40, <=50K
51,9,0,54, <=50K
43,9,0,40, <=50K
34,10,0,54, <=50K
46,9,0,45, >50K
28,14,1,50, >50K
26,13,0,40, <=50K
20,9,0,28, <=50K
44,11,0,40, <=50K
51,9,0,40, <=50K
33,13,0,60, >50K
54,12,0,40, >50K
50,13,1,40, >50K
33,9,1,40, <=50K
65,13,0,20, >50K
22,10,1,8, <=50K
88,15,0,40, <=50K
40,9,0,40, <=50K
51,9,1,43, <=50K
50,7,1,40, <=50K
25,14,0,99, >50K
20,11,0,30, <=50K
47,9,0,40, <=50K
58,10,0,40, >50K
22,11,1,30, <=50K
50,9,0,48, >50K
47,9,1,40, <=50K
24,7,0,45, <=50K
50,9,0,40, >50K
40,13,1,45, >50K
36,13,0,40, <=50K
32,9,0,40, <=50K
44,9,0,40, <=50K
51,14,0,40, <=50K
59,10,1,40, <=50K
65,9,0,30, <=50K
24,13,1,65, <=50K
27,13,0,35, <=50K
51,11,0,40, <=50K
48,10,0,40, >50K
39,9,0,60, <=50K
28,13,0,40, <=50K
19,10,1,25, <=50K
49,13,1,40, <=50K
51,12,0,60, <=50K
59,14,0,55, <=50K
18,9,1,40, <=50K
50,9,0,40, <=50K
45,9,0,80, >50K
30,13,0,50, >50K
37,13,0,35, <=50K
44,13,0,40, >50K
33,10,0,40, <=50K
61,14,0,40, >50K
61,9,0,40, <=50K
38,13,0,42, >50K
22,10,0,30, <=50K
36,9,0,45, <=50K
44,10,0,60, >50K
37,10,0,62, <=50K
31,10,1,20, <=50K
54,16,0,45, >50K
20,10,0,16, <=50K
63,13,1,40, >50K
48,10,0,40, >50K
33,9,1,41, <=50K
31,13,0,45, <=50K
38,15,0,40, >50K
45,9,0,40, >50K
48,9,0,40, <=50K
53,10,0,40, <=50K
55,9,1,40, <=50K
38,14,0,72, >50K
29,9,1,40, <=50K
36,13,0,60, >50K
42,10,0,60, <=50K
50,9,1,40, <=50K
75,15,0,35, <=50K
46,13,0,40, >50K
52,9,1,40, <=50K
27,13,1,40, <=50K
43,9,0,45, <=50K
31,7,1,42, <=50K
23,10,1,30, <=50K
34,9,1,24, <=50K
41,9,1,40, <=50K
31,9,1,30, <=50K
42,10,1,40, <=50K
35,14,0,45, >50K
55,9,1,25, <=50K
36,9,1,40, <=50K
65,9,0,59, >50K
38,10,0,12, <=50K
62,10,1,20, <=50K
54,15,0,60, >50K
49,9,0,40, <=50K
34,9,1,40, <=50K
32,9,1,40, <=50K
51,14,0,50, >50K
48,10,0,60, <=50K
30,9,0,40, <=50K
52,9,1,43, <=50K
28,10,0,40, <=50K
29,9,0,40, <=50K
38,13,1,50, <=50K
57,9,0,50, >50K
43,13,0,40, >50K
37,10,0,40, <=50K
30,9,0,40, <=50K
53,9,0,48, >50K
69,11,1,1, <=50K
73,9,1,37, <=50K
22,10,0,35, <=50K
31,9,1,45, <=50K
38,13,0,40, >50K
50,10,0,35, <=50K
37,10,0,37, <=50K
44,13,0,40, <=50K
47,13,1,45, <=50K
27,10,0,40, <=50K
28,12,1,80, <=50K
25,9,1,40, <=50K
20,10,1,40, <=50K
51,13,0,40, >50K
46,13,0,40, >50K
67,13,0,7, >50K
47,9,0,35, <=50K
42,9,0,40, <=50K
52,9,0,50, <=50K
42,12,1,40, >50K
65,9,0,40, >50K
21,10,0,10, <=50K
50,9,1,40, >50K
46,10,0,40, <=50K
47,13,0,50, >50K
57,6,0,40, <=50K
37,13,0,45, <=50K
50,9,0,40, <=50K
58,8,0,40, <=50K
63,2,1,30, <=50K
39,9,0,65, <=50K
46,14,0,35, <=50K
36,9,0,40, <=50K
26,3,0,50, <=50K
21,10,0,57, <=50K
41,12,0,40, <=50K
44,10,0,40, <=50K
22,9,0,40, <=50K
29,10,0,60, <=50K
29,9,1,40, <=50K
58,10,1,40, >50K
36,15,0,50, <=50K
30,11,0,48, <=50K
37,13,0,43, >50K
29,11,0,40, <=50K
26,3,1,40, <=50K
43,9,0,45, <=50K
49,9,1,40, >50K
45,13,0,40, <=50K
28,13,1,40, <=50K
20,10,1,25, <=50K
51,9,1,40, <=50K
32,10,0,50, >50K
24,9,1,40, <=50K
35,16,0,40, >50K
35,12,0,55, <=50K
41,13,0,40, >50K
48,13,0,45, >50K
61,9,1,35, <=50K
20,10,0,30, <=50K
27,9,0,50, >50K
55,10,0,24, >50K
39,9,0,40, >50K
17,6,0,20, <=50K
47,9,0,40, <=50K
52,9,1,40, >50K
24,9,1,20, <=50K
29,7,1,40, <=50K
25,9,0,40, <=50K
20,10,1,40, <=50K
23,9,0,35, <=50K
57,15,0,60, <=50K
51,11,0,40, >50K
33,10,1,16, <=50K
39,13,0,40, <=50K
40,9,0,40, >50K
71,13,1,16, <=50K
38,10,0,40, <=50K
28,15,0,40, <=50K
57,14,1,40, <=50K
47,10,0,40, <=50K
59,9,0,40, <=50K
26,9,0,40, <=50K
35,13,1,40, <=50K
61,13,0,50, >50K
17,7,1,30, <=50K
36,13,0,60, >50K
62,4,0,50, <=50K
34,10,0,50, >50K
32,13,0,50, >50K
42,9,1,40, <=50K
39,10,0,40, <=50K
58,3,0,40, <=50K
61,9,0,60, >50K
40,6,0,55, <=50K
31,13,0,37, <=50K
36,9,0,50, <=50K
23,10,0,40, <=50K
33,9,0,41, <=50K
52,9,0,40, >50K
22,9,1,24, <=50K
51,10,1,40, <=50K
31,11,1,40, <=50K
49,9,1,40, <=50K
49,9,1,40, <=50K
53,10,1,40, <=50K
52,9,0,40, >50K
20,6,0,40, <=50K
26,12,0,40, <=50K
61,9,0,6, <=50K
43,14,1,30, <=50K
46,13,0,52, <=50K
43,11,1,35, <=50K
41,9,1,40, <=50K
44,9,0,55, <=50K
54,9,0,40, <=50K
65,14,0,40, >50K
32,13,1,40, <=50K
25,10,0,40, <=50K
23,13,0,50, <=50K
25,13,0,45, <=50K
19,10,0,50, <=50K
37,9,0,60, <=50K
45,10,0,45, <=50K
37,9,0,44, <=50K
40,10,0,70, >50K
19,10,0,40, <=50K
17,7,0,5, <=50K
27,13,1,40, <=50K
40,4,0,40, >50K
59,9,1,30, <=50K
19,9,1,40, <=50K
43,6,0,40, <=50K
42,6,0,40, >50K
54,9,0,40, <=50K
54,14,0,50, <=50K
51,6,0,45, <=50K
50,9,0,60, >50K
40,9,1,40, <=50K
55,12,0,25, <=50K
50,9,1,40, <=50K
31,9,0,50, <=50K
42,9,1,32, <=50K
24,9,0,45, >50K
30,7,0,40, <=50K
39,12,1,50, >50K
37,9,0,50, <=50K
33,9,0,40, <=50K
48,9,1,40, <=50K
43,9,0,78, <=50K
39,13,0,40, >50K
53,10,0,45, >50K
52,6,0,60, <=50K
28,10,0,20, <=50K
32,9,0,52, <=50K
31,13,0,90, >50K
31,13,1,40, >50K
47,10,1,40, <=50K
19,10,0,50, <=50K
40,11,0,40, <=50K
40,12,1,45, <=50K
41,7,0,40, <=50K
53,9,0,40, <=50K
46,7,0,43, <=50K
45,13,0,35, >50K
39,5,1,34, <=50K
19,9,0,40, <=50K
57,9,0,40, >50K
49,11,1,40, <=50K
59,9,1,40, <=50K
32,11,0,50, >50K
18,10,1,15, <=50K
35,10,0,40, <=50K
58,6,1,40, <=50K
28,13,0,43, <=50K
36,12,1,40, >50K
41,14,1,35, <=50K
47,9,0,40, >50K
50,9,0,60, <=50K
61,9,0,16, <=50K
36,9,0,50, >50K
38,11,0,40, <=50K
56,9,0,60, >50K
50,11,0,45, <=50K
45,10,0,40, <=50K
44,9,0,66, <=50K
51,10,0,45, >50K
44,10,0,50, >50K
25,9,0,50, <=50K
60,7,0,40, <=50K
17,6,0,30, <=50K
49,14,0,50, >50K
46,9,0,60, >50K
56,9,1,38, <=50K
25,9,0,45, <=50K
22,10,0,40, <=50K
76,9,1,2, <=50K
41,15,0,60, >50K
48,9,0,40, >50K
46,6,0,40, <=50K
30,10,0,40, >50K
39,9,0,40, >50K
40,6,0,40, <=50K
70,9,0,40, <=50K
35,10,0,45, <=50K
49,14,1,75, <=50K
24,11,0,60, <=50K
40,12,0,36, >50K
61,15,0,5, >50K
25,13,0,40, <=50K
28,13,1,40, <=50K
69,14,0,11, <=50K
22,10,1,36, <=50K
47,9,0,38, <=50K
38,9,1,48, <=50K
26,11,1,40, <=50K
17,7,1,24, <=50K
33,10,0,35, <=50K
43,9,0,40, <=50K
58,11,0,40, >50K
53,9,0,40, >50K
26,9,0,25, <=50K
43,13,0,40, >50K
31,6,0,40, <=50K
30,9,0,42, <=50K
25,9,1,25, <=50K
57,9,1,40, <=50K
37,14,0,60, >50K
32,10,0,48, <=50K
26,9,1,41, <=50K
45,9,0,40, >50K
53,9,0,35, >50K
27,9,0,40, <=50K
28,7,0,50, >50K
32,7,0,43, >50K
35,13,1,65, <=50K
36,10,0,55, >50K
19,10,0,40, <=50K
37,13,0,80, >50K
49,10,0,45, <=50K
20,10,0,45, <=50K
64,13,0,55, >50K
60,14,0,40, <=50K
32,12,0,42, <=50K
58,9,0,40, <=50K
42,9,0,50, <=50K
20,10,1,14, <=50K
42,10,0,40, <=50K
25,10,0,40, <=50K
30,11,0,65, >50K
37,13,0,35, >50K
66,11,0,50, <=50K
59,13,0,40, >50K
44,13,0,40, <=50K
46,9,0,58, >50K
59,13,1,30, <=50K
25,13,0,40, <=50K
17,5,0,9, <=50K
47,13,0,40, <=50K
47,5,1,40, <=50K
30,10,1,40, <=50K
20,10,1,40, <=50K
26,13,0,55, <=50K
20,10,0,15, <=50K
33,9,0,40, <=50K
48,9,0,40, <=50K
52,13,0,50, >50K
37,9,1,12, <=50K
47,9,0,40, <=50K
40,6,0,40, >50K
48,14,1,40, >50K
49,6,0,42, >50K
50,10,1,40, <=50K
30,12,1,40, <=50K
34,10,0,40, <=50K
43,9,0,40, <=50K
22,6,1,40, <=50K
35,9,0,40, <=50K
26,9,1,30, <=50K
62,15,0,70, <=50K
39,9,0,40, <=50K
59,10,0,40, <=50K
69,3,0,40, <=50K
27,13,0,40, <=50K
17,6,0,30, <=50K
38,13,0,40, <=50K
41,10,0,50, >50K
27,6,1,40, <=50K
23,9,1,40, <=50K
17,6,0,24, <=50K
56,4,1,40, <=50K
24,10,1,40, <=50K
62,16,0,40, >50K
44,8,0,40, <=50K
23,13,0,30, <=50K
41,9,0,50, <=50K
25,9,0,65, <=50K
21,10,1,8, <=50K
18,8,0,6, <=50K
45,10,0,40, <=50K
75,13,1,16, >50K
51,4,0,40, <=50K
42,9,1,40, <=50K
47,10,1,35, <=50K
29,10,0,40, <=50K
33,7,0,40, <=50K
43,13,0,40, <=50K
20,10,0,16, <=50K
19,13,1,40, <=50K
44,12,0,40, >50K
24,10,0,30, <=50K
19,10,0,40, <=50K
49,6,0,40, <=50K
52,11,0,40, <=50K
38,9,0,52, <=50K
24,10,0,50, <=50K
32,13,0,50, <=50K
72,9,1,8, <=50K
26,9,0,50, >50K
31,13,0,40, <=50K
29,13,0,50, <=50K
39,9,0,40, >50K
48,9,0,50, <=50K
40,10,0,45, >50K
51,10,0,45, <=50K
28,9,0,40, <=50K
22,9,1,20, <=50K
23,13,1,40, <=50K
65,10,0,16, <=50K
26,13,0,40, <=50K
20,10,0,50, <=50K
55,14,0,50, >50K
38,13,0,10, <=50K
33,9,0,60, >50K
33,9,1,60, <=50K
37,13,1,40, <=50K
19,7,0,60, <=50K
24,13,0,50, <=50K
30,7,0,45, <=50K
57,9,1,50, <=50K
22,10,1,20, <=50K
57,9,0,40, >50K
46,9,0,40, <=50K
67,9,0,35, <=50K
35,9,1,40, <=50K
47,9,0,40, <=50K
39,6,0,40, <=50K
50,10,0,40, <=50K
58,8,1,52, <=50K
36,12,1,30, >50K
45,14,0,36, >50K
54,9,0,40, >50K
26,13,0,30, <=50K
60,9,0,40, >50K
46,15,0,60, >50K
26,10,1,35, <=50K
32,7,0,40, <=50K
38,9,0,40, <=50K
48,10,0,70, >50K
44,9,0,45, >50K
37,9,1,40, <=50K
44,10,0,40, <=50K
31,9,1,35, <=50K
61,15,0,35, >50K
51,9,0,40, <=50K
52,13,1,60, >50K
45,9,1,40, <=50K
36,12,1,21, <=50K
39,7,0,70, <=50K
67,9,1,24, <=50K
40,12,0,40, >50K
27,3,0,35, <=50K
37,2,0,40, <=50K
57,10,0,50, >50K
27,6,1,40, <=50K
28,9,1,48, <=50K
34,13,0,60, >50K
54,9,0,50, >50K
52,9,1,38, <=50K
42,13,0,45, >50K
48,14,0,40, >50K
65,14,0,35, >50K
55,15,1,10, <=50K
71,9,1,20, >50K
33,10,0,40, <=50K
30,9,0,40, <=50K
35,13,0,55, >50K
59,6,1,40, <=50K
19,10,0,20, <=50K
36,5,0,30, <=50K
26,9,0,40, <=50K
34,9,0,40, <=50K
41,9,0,40, >50K
44,13,0,50, >50K
26,9,1,40, <=50K
47,9,0,48, <=50K
18,10,0,16, <=50K
55,6,0,18, <=50K
49,9,0,40, <=50K
44,13,0,40, >50K
43,13,0,40, <=50K
62,4,0,40, <=50K
44,9,0,40, <=50K
39,9,1,40, <=50K
50,10,0,60, >50K
35,7,0,45, <=50K
52,9,0,40, <=50K
46,15,0,60, >50K
44,12,0,40, >50K
43,10,0,50, <=50K
51,4,0,40, <=50K
20,10,0,20, <=50K
47,12,1,40, >50K
43,14,0,50, <=50K
64,9,0,40, >50K
24,10,0,40, <=50K
27,10,0,50, <=50K
32,9,0,40, <=50K
37,9,1,12, <=50K
26,9,0,60, <=50K
43,13,0,60, >50K
50,9,1,40, <=50K
20,9,0,80, <=50K
37,9,0,45, >50K
43,9,1,45, <=50K
37,9,0,50, >50K
53,5,1,36, <=50K
44,16,0,40, >50K
25,9,1,40, <=50K
17,7,1,20, <=50K
19,9,0,50, <=50K
53,9,1,40, >50K
44,10,0,50, <=50K
51,9,0,40, >50K
49,9,1,43, <=50K
35,10,0,40, <=50K
44,9,0,45, <=50K
54,14,0,60, <=50K
37,10,1,35, <=50K
18,10,1,15, <=50K
24,10,0,40, <=50K
29,9,1,50, <=50K
22,10,1,35, <=50K
35,9,0,40, <=50K
56,9,0,48, >50K
32,4,1,40, <=50K
24,13,0,45, <=50K
43,14,0,40, >50K
73,9,1,15, <=50K
47,10,0,40, <=50K
49,8,0,39, <=50K
38,13,0,40, >50K
31,9,0,40, <=50K
39,10,1,40, <=50K
42,13,1,40, <=50K
41,14,0,45, >50K
35,13,0,45, >50K
38,9,0,45, <=50K
31,9,1,40, <=50K
51,9,0,70, <=50K
38,13,0,48, >50K
40,10,0,42, >50K
21,9,1,30, <=50K
44,10,0,40, <=50K
55,9,0,40, >50K
29,9,0,45, <=50K
49,14,1,50, >50K
31,11,0,42, <=50K
24,14,0,90, <=50K
46,10,0,40, <=50K
26,9,0,40, <=50K
35,13,0,38, <=50K
27,11,0,50, <=50K
64,13,0,35, >50K
26,13,0,40, <=50K
21,9,1,16, <=50K
45,13,0,45, >50K
57,9,0,72, <=50K
30,13,0,40, >50K
45,7,1,32, <=50K
50,4,1,30, <=50K
38,13,1,40, <=50K
43,10,0,60, <=50K
42,10,1,55, <=50K
32,13,0,40, <=50K
20,9,1,40, <=50K
27,9,1,35, <=50K
45,7,1,40, <=50K
40,9,1,40, <=50K
38,9,0,60, <=50K
37,9,1,40, <=50K
60,6,1,40, <=50K
53,9,0,45, >50K
25,13,1,40, <=50K
47,13,0,60, <=50K
40,9,0,70, <=50K
51,9,0,40, <=50K
19,10,1,10, <=50K
42,10,1,50, >50K
65,9,0,40, <=50K
41,13,1,40, <=50K
28,6,0,45, <=50K
46,14,1,50, >50K
49,13,1,20, >50K
24,9,0,40, <=50K
32,7,0,40, <=50K
71,9,0,20, <=50K
26,10,0,40, >50K
29,9,0,40, <=50K
50,10,0,50, >50K
51,11,0,50, >50K
17,6,1,20, <=50K
49,9,1,40, >50K
31,6,0,40, <=50K
23,7,0,40, <=50K
59,9,0,40, <=50K
17,6,0,30, <=50K
43,10,0,40, >50K
38,13,0,40, >50K
37,9,0,40, <=50K
29,6,0,40, <=50K
39,13,0,50, >50K
31,12,0,38, <=50K
42,13,1,45, >50K
35,14,1,35, >50K
39,14,0,40, >50K
40,12,1,40, <=50K
66,3,1,40, <=50K
30,5,0,40, <=50K
43,12,0,40, <=50K
47,5,1,50, <=50K
45,14,1,40, <=50K
31,10,0,40, <=50K
33,9,0,40, >50K
32,13,0,40, <=50K
28,12,0,40, <=50K
50,9,0,40, >50K
63,4,1,40, <=50K
28,13,0,40, <=50K
38,10,1,40, <=50K
52,9,1,38, <=50K
38,15,0,40, >50K
41,9,0,40, <=50K
50,14,0,38, <=50K
59,7,0,40, <=50K
32,9,0,49, <=50K
73,4,0,10, <=50K
52,9,0,38, <=50K
57,9,0,60, <=50K
35,11,0,50, >50K
51,13,0,56, >50K
22,7,1,35, <=50K
49,9,0,40, >50K
22,9,0,40, <=50K
46,9,0,40, <=50K
48,9,1,40, <=50K
52,9,0,40, <=50K
43,13,0,50, >50K
25,4,0,40, <=50K
31,4,0,40, <=50K
19,10,0,36, <=50K
19,10,0,45, <=50K
51,9,0,84, >50K
51,13,0,40, >50K
22,9,1,40, >50K
37,9,1,35, <=50K
19,10,1,30, <=50K
45,9,1,55, <=50K
21,10,0,10, <=50K
52,9,1,40, <=50K
46,10,0,24, <=50K
42,14,1,38, <=50K
56,9,0,40, <=50K
23,9,1,40, <=50K
58,14,0,40, <=50K
70,9,0,30, <=50K
30,10,0,40, <=50K
45,13,0,40, <=50K
23,10,0,44, <=50K
34,10,0,40, <=50K
38,13,1,40, <=50K
24,11,0,40, <=50K
53,4,0,40, <=50K
45,9,0,40, <=50K
21,10,1,40, <=50K
21,10,1,40, <=50K
34,13,1,40, <=50K
32,9,0,45, >50K
21,9,0,40, <=50K
63,14,0,30, <=50K
23,5,0,36, <=50K
28,13,0,50, <=50K
29,9,0,45, <=50K
25,13,1,40, <=50K
44,14,1,60, <=50K
18,9,1,8, <=50K
26,9,0,24, <=50K
47,12,1,35, >50K
23,9,0,40, <=50K
46,10,0,40, <=50K
61,13,0,50, >50K
25,9,0,40, <=50K
38,9,0,54, >50K
60,13,1,15, <=50K
23,10,0,20, <=50K
36,9,1,48, <=50K
46,5,0,25, <=50K
32,13,0,45, >50K
40,6,0,40, <=50K
31,9,0,40, <=50K
31,10,0,65, >50K
32,13,0,37, <=50K
21,10,0,10, <=50K
63,10,0,40, >50K
44,10,0,45, >50K
42,13,0,60, <=50K
23,13,0,35, <=50K
30,10,1,45, <=50K
24,9,0,40, <=50K
42,13,0,40, >50K
44,9,1,40, >50K
27,13,0,48, <=50K
27,10,0,40, <=50K
22,9,1,45, <=50K
68,9,1,40, <=50K
55,10,0,99, >50K
22,9,0,40, <=50K
25,10,1,15, <=50K
68,9,0,45, <=50K
62,10,1,16, <=50K
26,9,0,40, <=50K
34,14,0,55, >50K
68,10,0,40, <=50K
42,13,0,45, >50K
45,13,0,55, <=50K
26,7,0,40, <=50K
25,9,0,45, <=50K
23,13,0,50, <=50K
29,10,0,40, <=50K
65,4,1,50, <=50K
31,9,0,50, <=50K
26,9,1,40, <=50K
39,10,0,50, >50K
44,9,0,40, >50K
45,14,1,45, <=50K
26,14,1,50, <=50K
26,6,0,35, <=50K
36,5,0,50, <=50K
38,7,0,45, <=50K
39,9,0,48, <=50K
52,15,0,40, <=50K
39,2,0,45, <=50K
41,10,0,40, <=50K
42,14,0,60, >50K
47,13,0,70, <=50K
28,11,0,46, <=50K
25,13,0,35, <=50K
35,13,1,40, <=50K
32,9,1,40, <=50K
38,14,0,40, >50K
44,10,0,18, >50K
21,10,1,40, <=50K
27,13,1,40, <=50K
30,13,0,55, >50K
30,13,0,48, <=50K
45,9,0,45, <=50K
20,9,0,40, <=50K
57,14,0,80, <=50K
43,10,0,48, <=50K
50,7,1,40, <=50K
28,4,1,48, <=50K
25,9,1,48, >50K
25,9,0,40, <=50K
90,13,0,45, <=50K
38,13,0,40, <=50K
35,13,1,40, <=50K
50,13,0,40, >50K
26,9,1,40, <=50K
39,10,0,45, <=50K
56,6,0,40, <=50K
24,9,1,40, <=50K
46,9,1,40, >50K
18,7,1,25, <=50K
37,14,0,60, >50K
57,14,1,40, <=50K
43,9,1,40, <=50K
29,13,0,25, <=50K
40,14,0,40, >50K
44,13,0,40, <=50K
77,9,0,6, <=50K
30,13,0,40, <=50K
21,9,0,40, <=50K
66,6,0,40, <=50K
40,7,0,35, <=50K
68,9,0,40, <=50K
64,9,1,38, <=50K
26,13,1,50, <=50K
32,10,0,40, >50K
32,9,0,38, <=50K
51,14,0,40, >50K
50,14,0,45, >50K
49,13,0,50, >50K
28,13,0,20, <=50K
29,9,1,36, <=50K
21,10,0,30, <=50K
28,9,1,40, <=50K
55,6,0,40, <=50K
45,9,0,50, >50K
35,10,0,40, <=50K
31,7,0,40, <=50K
26,14,0,40, >50K
30,9,0,55, <=50K
33,9,0,20, <=50K
40,13,0,40, >50K
23,13,0,40, <=50K
35,10,1,40, <=50K
48,7,0,50, >50K
39,6,0,40, <=50K
53,15,1,50, <=50K
49,9,0,40, >50K
31,13,1,40, <=50K
36,9,0,40, >50K
60,10,0,50, >50K
29,9,0,48, <=50K
54,10,0,45, >50K
28,12,1,3, <=50K
34,9,0,50, <=50K
30,10,1,35, <=50K
19,9,1,45, <=50K
26,9,0,40, <=50K
47,10,0,70, >50K
50,9,0,38, <=50K
30,13,1,45, >50K
44,10,0,50, <=50K
49,9,0,60, >50K
75,14,1,50, <=50K
37,13,0,55, >50K
51,9,0,38, <=50K
35,9,0,35, <=50K
28,10,1,40, <=50K
66,9,0,40, <=50K
72,5,1,48, >50K
39,13,0,50, <=50K
27,9,0,30, <=50K
57,10,1,40, <=50K
24,4,0,38, <=50K
28,9,0,70, <=50K
23,10,1,50, <=50K
31,13,1,40, <=50K
23,10,1,20, <=50K
31,10,1,40, <=50K
27,13,1,40, <=50K
30,13,0,45, <=50K
31,15,1,80, <=50K
34,14,0,60, <=50K
57,9,0,40, <=50K
39,14,0,40, >50K
23,7,0,40, <=50K
24,12,1,40, <=50K
36,16,0,40, <=50K
32,10,0,40, <=50K
35,12,1,40, <=50K
36,13,0,40, <=50K
23,13,1,50, <=50K
47,11,0,40, >50K
35,9,0,40, <=50K
44,10,0,40, <=50K
32,14,0,50, <=50K
32,12,1,40, >50K
63,10,1,10, >50K
34,11,0,40, <=50K
47,9,0,40, <=50K
27,7,0,35, <=50K
23,9,1,42, <=50K
19,10,1,40, <=50K
50,6,0,38, <=50K
49,10,0,40, <=50K
36,10,0,40, >50K
23,13,0,40, <=50K
61,4,1,38, <=50K
41,10,0,16, <=50K
27,13,0,60, >50K
53,13,0,70, <=50K
17,6,0,10, <=50K
23,9,0,30, <=50K
53,10,0,40, <=50K
28,9,0,42, >50K
24,13,1,40, <=50K
22,10,1,20, <=50K
53,13,0,50, >50K
18,7,0,20, <=50K
24,10,0,50, <=50K
20,9,1,40, <=50K
30,4,0,40, <=50K
37,11,0,40, >50K
34,9,0,40, <=50K
19,9,0,30, <=50K
20,8,1,40, <=50K
47,9,1,40, <=50K
20,10,0,32, <=50K
22,13,1,40, <=50K
42,14,0,40, >50K
60,10,1,40, <=50K
32,9,1,40, <=50K
46,9,0,40, >50K
66,9,1,40, <=50K
37,13,1,30, >50K
34,10,0,44, <=50K
45,13,0,46, <=50K
35,7,0,40, <=50K
63,9,0,40, <=50K
51,10,0,40, >50K
36,10,0,40, >50K
25,9,0,40, <=50K
51,9,1,38, <=50K
25,10,0,40, <=50K
19,9,0,45, <=50K
47,10,0,45, <=50K
59,9,1,40, <=50K
34,13,0,40, >50K
40,10,1,60, <=50K
42,9,0,45, <=50K
28,9,1,17, <=50K
37,14,0,60, >50K
51,12,0,38, >50K
25,9,0,36, <=50K
31,9,1,40, >50K
37,9,0,44, >50K
42,12,0,45, >50K
29,13,0,40, <=50K
35,10,0,50, <=50K
51,13,0,47, >50K
22,10,0,36, <=50K
49,10,0,40, >50K
26,13,0,16, <=50K
56,9,1,46, <=50K
52,10,0,45, >50K
61,14,0,4, <=50K
47,13,1,40, >50K
52,11,0,40, <=50K
30,9,1,40, <=50K
43,10,0,55, >50K
35,10,0,40, <=50K
17,8,0,40, <=50K
42,9,0,40, >50K
26,10,1,35, <=50K
58,9,0,40, <=50K
66,10,0,40, >50K
30,9,0,60, >50K
46,10,1,40, <=50K
45,10,1,35, >50K
57,9,1,40, <=50K
25,13,0,40, <=50K
21,10,1,10, <=50K
37,9,0,55, <=50K
45,14,1,30, <=50K
61,16,1,5, <=50K
39,9,0,40, <=50K
42,9,1,53, <=50K
20,9,1,40, <=50K
23,9,0,16, <=50K
25,13,0,40, <=50K
47,3,1,40, <=50K
24,9,0,45, <=50K
20,10,1,15, <=50K
35,9,0,70, <=50K
44,9,1,38, >50K
47,10,0,50, <=50K
28,7,1,40, <=50K
41,14,1,60, <=50K
31,9,1,40, <=50K
27,14,1,25, <=50K
47,11,0,40, <=50K
44,9,1,40, <=50K
61,10,1,40, <=50K
42,10,1,40, <=50K
46,9,1,28, <=50K
46,13,0,50, >50K
54,14,1,38, <=50K
49,9,0,40, <=50K
56,10,1,40, <=50K
52,14,1,40, <=50K
34,9,0,40, <=50K
25,9,0,40, <=50K
18,7,1,40, <=50K
58,9,0,40, <=50K
31,13,0,40, <=50K
29,10,0,55, <=50K
28,7,0,40, <=50K
30,10,0,48, <=50K
21,10,0,30, <=50K
44,14,0,35, >50K
75,6,1,70, <=50K
66,7,0,40, <=50K
26,10,0,40, <=50K
33,13,0,50, >50K
57,14,0,65, >50K
47,3,0,55, >50K
41,9,0,40, >50K
21,10,1,37, <=50K
17,7,0,17, <=50K
61,13,0,55, <=50K
47,9,1,8, >50K
22,10,1,15, <=50K
47,9,0,40, <=50K
45,13,0,40, >50K
32,11,0,50, <=50K
59,6,1,30, <=50K
38,9,0,50, <=50K
33,9,1,40, <=50K
41,9,0,40, <=50K
51,5,0,40, <=50K
42,9,0,48, <=50K
27,13,1,40, >50K
60,10,0,45, <=50K
64,9,1,35, <=50K
37,12,0,40, >50K
54,13,0,45, >50K
36,12,1,50, >50K
34,13,0,40, >50K
41,14,0,5, >50K
35,4,0,75, <=50K
63,14,0,68, >50K
46,9,0,40, <=50K
47,14,0,40, <=50K
24,13,0,65, <=50K
29,10,0,30, <=50K
74,10,1,18, <=50K
50,7,0,70, >50K
